session_id,date,city,state,address,latitude,longitude,court_name,session_type,court_type,time_spent_mins,weekday
86,2/9/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,90,Friday
87,2/10/2024,tampa,florida,8599 n 26th st,28.02844547,-82.43031065,rowlett_park,drill,outdoors,30,Saturday
88,2/10/2024,saint_petersburg,florida,5801 22nd ave n,27.79282291,-82.71522042,jw_cate_park,recreation,outdoors,60,Saturday
89,2/11/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,270,Sunday
90,2/12/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,180,Monday
91,2/13/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
92,2/13/2024,saint_cloud,florida,317 delaware ave,28.25608274,-81.27168644,godwin_park,recreation,outdoors,30,Tuesday
93,2/14/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,270,Wednesday
94,2/15/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,270,Thursday
95,2/16/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Friday
96,2/17/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,recreation,outdoors,60,Saturday
97,2/19/2024,orlando,florida,7059 s orange blossom trl,28.46390717,-81.39564909,orlando_racquet_sports,recreation,indoors,180,Monday
98,2/20/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Tuesday
99,2/21/2024,kissimmee,florida,717 n palm ave,28.299714,-81.42062566,oak_street_park,drill,outdoors,150,Wednesday
100,2/21/2024,orlando,florida,10000 usta blvd,28.40055883,-81.27885519,usta,recreation,outdoors,90,Wednesday
101,2/22/2024,orlando,florida,1400 gaston foster rd,28.52556489,-81.32574814,dover_shores,recreation,outdoors,240,Thursday
